AMU,neon1,neon2,neon3
47,1.02E-09,8.56E-10,9.37E-10
47.1,1.06E-09,8.95E-10,9E-10
47.2,1.07E-09,9.76E-10,9E-10
47.3,1.09E-09,9.31E-10,9.03E-10
47.4,1.04E-09,7.37E-10,7.93E-10
47.5,7.79E-10,4.5E-10,6.49E-10
47.6,6.2E-10,1.6E-10,6.23E-10
47.7,5.84E-10,3.85E-10,6.57E-10
47.8,6.7E-10,7.11E-10,6.44E-10
47.9,6.61E-10,6.57E-10,7.11E-10
48,7.94E-10,6.85E-10,8.09E-10
48.1,7.92E-10,7.44E-10,8.43E-10
48.2,8.1E-10,7.45E-10,8.49E-10
48.3,8.63E-10,6.1E-10,8.49E-10
48.4,7.77E-10,2.59E-10,6.53E-10
48.5,7.25E-10,1.63E-10,2.74E-10
48.6,6.63E-10,1.82E-10,2.57E-10
48.7,4.69E-10,1.53E-10,2.69E-10
48.8,2.27E-10,1.83E-10,3.39E-10
48.9,3.5E-10,2.48E-10,3.68E-10
49,3.64E-10,2.73E-10,3.77E-10
49.1,4.11E-10,2.93E-10,4.69E-10
49.2,6.74E-10,2.64E-10,7.84E-10
49.3,5.67E-10,2.73E-10,6.51E-10
49.4,2.14E-10,3E-10,3.88E-10
49.5,2.09E-10,2.95E-10,2.55E-10
49.6,2.56E-10,2.88E-10,4.18E-10
49.7,2.82E-10,2.97E-10,5.39E-10
49.8,2.68E-10,2.89E-10,6.91E-10
49.9,3.19E-10,2.64E-10,6.56E-10
50,3.95E-10,2.84E-10,7.42E-10
50.1,7.52E-10,5.15E-10,6.86E-10
50.2,7.09E-10,6.74E-10,5.31E-10
50.3,6.76E-10,6.49E-10,3.11E-10
50.4,5.89E-10,5.97E-10,3.98E-10
50.5,2.82E-10,3.77E-10,3.56E-10
50.6,1.68E-10,1.33E-10,3.75E-10
50.7,2.5E-10,2.48E-10,7.52E-10
50.8,3.15E-10,3.12E-10,7.75E-10
50.9,3.29E-10,3.35E-10,7.84E-10
51,3.58E-10,6.64E-10,8.23E-10
51.1,5.55E-10,6.12E-10,8.85E-10
51.2,7.15E-10,6.04E-10,8.84E-10
51.3,6.12E-10,6.55E-10,8.31E-10
51.4,5.67E-10,5.49E-10,7.1E-10
51.5,1.58E-10,5.29E-10,6.17E-10
51.6,2.01E-10,5.39E-10,6.25E-10
51.7,3.68E-10,5.54E-10,6.85E-10
51.8,7.12E-10,6.21E-10,7.04E-10
51.9,7.27E-10,6.26E-10,7.8E-10
52,7.5E-10,6.48E-10,8.96E-10
52.1,7.49E-10,6.38E-10,9.8E-10
52.2,7.99E-10,6.72E-10,9.97E-10
52.3,8.26E-10,6.63E-10,9.16E-10
52.4,8.37E-10,6.56E-10,7.09E-10
52.5,7.11E-10,5.11E-10,3.81E-10
52.6,6.4E-10,5.28E-10,1.89E-10
52.7,5.36E-10,2.96E-10,3.3E-10
52.8,2.6E-10,7.4E-11,5.03E-10
52.9,3.17E-10,1.74E-10,8.05E-10
53,2.97E-10,2.49E-10,6.73E-10
53.1,3.17E-10,2.96E-10,6.46E-10
53.2,3.3E-10,2.82E-10,6.33E-10
53.3,3.96E-10,2.89E-10,4.74E-10
53.4,3.68E-10,2.74E-10,2.24E-10
53.5,5.74E-10,2.88E-10,2.72E-10
53.6,6.89E-10,2.76E-10,2.91E-10
53.7,4.59E-10,5.8E-10,3.72E-10
53.8,1.93E-10,5.26E-10,4.32E-10
53.9,3.07E-10,1.49E-10,5.56E-10
54,4.62E-10,2.56E-10,8.18E-10
54.1,7.44E-10,3.08E-10,7.64E-10
54.2,6.24E-10,5.48E-10,7.39E-10
54.3,5.91E-10,6.85E-10,7.44E-10
54.4,3.5E-10,4.59E-10,6.1E-10
54.5,2.09E-10,1.65E-10,5.84E-10
54.6,3.39E-10,2.84E-10,6.05E-10
54.7,3.41E-10,4.11E-10,6.64E-10
54.8,5.13E-10,6.33E-10,6.48E-10
54.9,6.53E-10,5.36E-10,6.71E-10
55,6.68E-10,6.02E-10,6.62E-10
55.1,5.36E-10,6.21E-10,6.43E-10
55.2,5.68E-10,6.07E-10,7.03E-10
55.3,5.7E-10,6.4E-10,7.2E-10
55.4,2.47E-10,5.37E-10,6.32E-10
55.5,3.26E-10,3.3E-10,6.52E-10
55.6,2.83E-10,2.07E-10,6.11E-10
55.7,3.26E-10,2.69E-10,6.02E-10
55.8,7.39E-10,5.28E-10,5.86E-10
55.9,6.33E-10,7.47E-10,7.03E-10
56,5.55E-10,7.44E-10,7.46E-10
56.1,5.92E-10,7.13E-10,8E-10
56.2,6.02E-10,7.17E-10,8.13E-10
56.3,6.16E-10,6E-10,8.5E-10
56.4,7.02E-10,5.13E-10,7.82E-10
56.5,6.15E-10,5.01E-10,7.18E-10
56.6,3.23E-10,1.97E-10,6.48E-10
56.7,2.15E-10,2.78E-10,6.36E-10
56.8,2.41E-10,6.05E-10,7.39E-10
56.9,3.42E-10,6.77E-10,8.63E-10
57,7.25E-10,6.52E-10,9.31E-10
57.1,6.6E-10,6.38E-10,1.02E-09
57.2,6.71E-10,6.6E-10,9.88E-10
57.3,6.29E-10,6.24E-10,9.31E-10
57.4,6.71E-10,6.18E-10,9.08E-10
57.5,5.66E-10,4.76E-10,7.55E-10
57.6,3.91E-10,1.81E-10,5.92E-10
57.7,1.89E-10,3.07E-10,3.68E-10
57.8,2.69E-10,5.99E-10,3.58E-10
57.9,2.85E-10,6.83E-10,4.36E-10
58,4.2E-10,6.19E-10,8.59E-10
58.1,7.71E-10,5.53E-10,8.89E-10
58.2,7.37E-10,5.66E-10,9.71E-10
58.3,6.78E-10,5.38E-10,8.47E-10
58.4,6.82E-10,5.32E-10,7.64E-10
58.5,6.37E-10,1.69E-10,6.83E-10
58.6,5.77E-10,3.12E-10,3.57E-10
58.7,4.05E-10,6.96E-10,2.31E-10
58.8,2.91E-10,6.36E-10,3.52E-10
